Date,Title
2011/10/20,tech wrap: basic phones lift nokia to profit
2011/10/28,tech wrap: google takes another shot at tv
2011/11/4,samsung is calling fine artists
2011/11/11,googletv: another partner says bye-bye
2011/11/22,tech wrap: is intellectual property being used to restrict competition?
2011/11/29,micron enlists ibm to speed up memory chips
2011/12/7,suvolta takes wraps off battery-friendly chip technology
2011/12/14,"samsung takes the sony media route with ex-aol, ex-youtube hire"
2012/1/2,seoul shares up led by refiners; samsung elec hits new record
2012/1/3,seoul shares rise on europe rally; samsung elec sets new high
2012/1/3,refile-seoul shares seen up; investors await samsung guidance
2012/1/3,s. korea approves samsung's flash chip plant in china
2012/1/3,s.korea approves samsung's flash chip plant in china
2012/1/4,samsung aims 15 pct growth in 2012 air conditioning sales
2012/1/4,seoul shares dip 0.5 pct as tech issues ease
2012/1/4,huawei dismisses u.s. calls for probe over iran business
2012/1/5,south korea's sk group chairman charged with embezzlement
2012/1/5,"asia fuel oil-s.korea ewp seeks 100,000 t for jan"
2012/1/5,asia naphtha-s korea samsung total buys h2 feb vols
2012/1/5,samsung estimates record q4 profit on strong smartphone sales
2012/1/5,samsung estimates record q4 profit on strong smartphones
2012/1/6,tech wrap: samsung savors smartphone supremacy
2012/1/6,seoul shares fall; construction firms lead losses
2012/1/6,lg elec says joins google to roll out google tv
2012/1/6,nokia buys norwegian startup smarterphone for low-end push
2012/1/6,seoul shares down as institutions turn sellers
2012/1/7,sony says executive changes not yet determined
2012/1/9,ces: samsung aims for 16 percent boost in 2012 tv sales
2012/1/9,"samsung unveils new tablet, available via verizon"
2012/1/9,s.korea's samsung total says to build $1.7 billion aromatic plant
2012/1/9,s.korea's samsung total says to build $1.7 bln aromatic plant
2012/1/10,samsung will focus more on profit than handset volume
2012/1/10,news corp's the daily may have launched a year too early
2012/1/11,samsung elec no longer interested in olympus buy -samsung source
2012/1/11,eu launches wto suit on canadian renewable power
2012/1/12,samsung may consider alliance with olympus: source
2012/1/12,chinasoft says huawei to buy 40 pct of outsourcing venture
2012/1/13,kcc shares jump after $602 million hyundai heavy stake sale
2012/1/15,s.korea shares tumble over 1.5 pct but foreign buying continues
2012/1/15,samsung heavy says signs $2.3 bln deal with inpex
2012/1/15,samsung plans $1 bln debt sale to fund u.s. chip plant
2012/1/15,samsung heavy says signs $2.3 billion deal with inpex
2012/1/16,samsung plans $1 billion debt sale to fund u.s. chip plant
2012/1/16,s.korea kospi rises on programme bids; brokerages soar
2012/1/17,asml q1 order book eyed for chip uptick
2012/1/17,"zte sees china, u.s. key smartphone markets"
2012/1/17,tech wrap: is samsung buying rim?
2012/1/17,samsung group plans record $41 billion investment in 2012
2012/1/18,cellphone makers can expect poor reception in 2012
2012/1/19,sony ericsson loss heralds tough start for sole owner
2012/1/19,zte shares log biggest fall in 5 months on slew of rumors
2012/1/19,seoul shares climb to fresh 5-week high
2012/1/19,seoul shares hit 5-week high led by tech issues
2012/1/20,samsung suffers german court setback in apple battle
2012/1/20,samsung says german court rules against it in apple suit
2012/1/20,"sony, panasonic debt ratings cut on tv losses"
2012/1/21,south korea decries u.s. washing machine probe
2012/1/23,analysts to new rim ceo: just launch better phones already
2012/1/24,tech wrap: apple earnings lay waste to expectations
2012/1/24,s.korea shares hit near 6-month intraday peak
2012/1/24,apple again loses dutch bid for samsung tablet ban
2012/1/25,core suppliers savor bigger apple pie
2012/1/25,seoul shares retreat from 6-mth peak to close flat
2012/1/25,rim shares bounce back after shuffle-related drop
2012/1/25,sandisk warns of tough first half of 2012
2012/1/26,table-samsung reports record q4 profit on handsets
2012/1/26,analysis: asia may not be such easy pickings for apple
2012/1/26,lg display q4 loss narrows as tv panel prices stabilise
2012/1/27,seoul shares post thin gain led by brokerages
2012/1/27,"tech wrap: apple cares, says ceo tim cook"
2012/1/29,seoul shares dip on profit-taking; auto issues tumble
2012/1/29,samsung eng says aims to win $14.3 bln orders in 2012
2012/1/31,eu opens antitrust investigation into samsung over patents
2012/1/31,eu regulators investigate samsung over mobile patents
2012/1/31,"refile-update 1-samsung sec to slash jobs, suspend brokerage ops in hong kong"
2012/1/31,"samsung sec says to slash jobs, suspend brokerage ops in hong kong"
2012/2/1,"seoul shares seen up, may test 2,000 level resistance"
2012/2/1,elpida seen posting $1.6 billion annual loss: nhk
2012/2/2,"scailex explores partner stake sale, options"
2012/2/6,htc sees q1 revenue falling as much as 36 percent
2012/2/6,corrected-htc sees q1 revenue falling as much as 36 pct
2012/2/7,wolfson expects another weak quarter before recovery
2012/2/7,htc shares tumble on weak q1; focus shifts to new models
2012/2/7,samsung elec says tv sales stronger than year ago
2012/2/8,"lenovo q3 profit up 54 pct, beats forecasts"
2012/2/8,samsung says tv sales stronger; plans to launch low-end tvs
2012/2/9,"ceo hirai to network sony content and gadgets, be tough on costs"
2012/2/10,eu's almunia warns firms against abusing patents
2012/2/10,huawei says smartphone shipments up five-fold in 2011
2012/2/10,"u.s. air force plans purchase of up to 18,000 ipads"
2012/2/12,"seoul shares pare early gains, shipbuilders lower"
2012/2/12,apple launches new legal attack on samsung phones
2012/2/13,us stocks-futures gain after greece approves deal
2012/2/13,s.korea's samsung heavy inks $2.7 bln deal with inpex
2012/2/13,s.korea's samsung heavy inks $2.7 billion deal with inpex
2012/2/13,"s.korea's kt wants internet-tv profit split with google, apple"
2012/2/13,seoul shares seen up on global stock rally as greece passes reforms
2012/2/13,"us stocks-wall st up on greece, nears resistance"
2012/2/13,"wall st up on greece, nears resistance"
2012/2/13,us stocks-greek vote lifts wall st near 7-mo highs
2012/2/13,scandal-hit olympus forecasts $412 mln annual loss
2012/2/13,us stocks-banks lead wall st higher after greek deal
2012/2/13,us stocks-futures climb as greece deal approved
2012/2/14,samsung says considering options for lcd business
2012/2/15,samsung sees tough european market improving in h2
2012/2/15,2012 olympics gives samsung a window on european
2012/2/15,2012 olympics give samsung a window on european market
2012/2/15,interview-olympics-2012 gives samsung a window on european market
2012/2/15,samsung elec rally lifts seoul shares to 6-mth high
2012/2/15,seoul shares climb to 6-mth closing high; samsung elec rallies
2012/2/15,nvidia warns of chip supplies and loss of samsung
2012/2/16,text: fitch: elpida exit would be positive for rival dram producers
2012/2/17,seoul shares close up 1.3 pct to round off 7-week rally
2012/2/18,motorola mobility says apple files eu patent complaint
2012/2/19,seoul shares up but pare gains after setting 6-mth intraday high
2012/2/20,japanese firms seek europe phone market share
2012/2/20,"triquint launches new module, sees rev from q3"
2012/2/20,apple's legal woes in china offer hope to rivals
2012/2/20,samsung shifts to new tv technology with lcd spin off
2012/2/22,samsung says sales of galaxy s ii phones top 20 mln
2012/2/23,au optronics says sees room to increase some panel prices
2012/2/23,"seoul shares end lower, tech issues drag"
2012/2/24,s.korea's samsung heavy wins $1.1 bln drill ship order
2012/2/26,samsung exec says targets 380 mln handset sales this year -reports
2012/2/26,samsung aims to nearly double smartphone sales in 2012
2012/2/27,seoul share edge up; chipmakers jump on elpida bankruptcy
2012/2/27,apple defeats motorola in german court
2012/2/28,s.korea kospi rises on broad large-cap rally
2012/2/28,"seoul shares seen up, output data may lend support"
2012/2/28,s.korea kospi closes up 0.63 pct; chipmakers rally
2012/2/28,korea's richest man hit with second family lawsuit
2012/2/28,"elpida bankruptcy opens door for samsung, micron"
2012/2/29,s.korea kospi hits 7-month closing peak led by large-caps
2012/2/29,htc says to sell more smartphones in 2012
2012/2/29,universal display slides on samsung deal concerns
2012/3/2,german court rejects two apple-samsung patent suits
2012/3/5,s.korea kospi pulls back from 7-mth high on profit-taking
2012/3/6,intel launches high-end server chip for the cloud
2012/3/6,"samsung says no interest in elpida, concerned about rival deals"
2012/3/7,samsung files fresh lawsuit against apple in s.korea
2012/3/7,samsung files fresh lawsuit against apple in south korea
2012/3/7,us stocks-futures bounce back from losses; adp jobs eyed
2012/3/7,ceo cook kicks off apple's ipad-unveiling event
2012/3/9,"tablets are shaking up the chip industry, even more"
2012/3/9,s.korea kospi extend gains but sets weekly decline
2012/3/9,south korea's kospi rises;samsung elec at all-time high
2012/3/13,"south korea keeps jp morgan, samsung sec, daewoo sec for woori sale: source"
2012/3/13,"s.korea keeps jp morgan, samsung sec, daewoo sec for woori sale: source"
2012/3/13,"vampire books, ipads form new uk inflation benchmark"
2012/3/14,"apple to sell 65.6 million ipads this year, sees record pre-orders: analysts"
2012/3/14,s.korea kospi climbs to 7-mth closing high on financials
2012/3/14,"samsung loses bid to ban iphone, ipad sales in netherlands"
2012/3/14,belgacom extends samsung partnership into business mkt
2012/3/15,"corrected-samsung loses bid to ban iphone, ipad sales in netherlands"
2012/3/15,"dissected ipad reveals samsung, qualcomm parts"
2012/3/16,samsung pulls out of brazil's eas shipyard-report
2012/3/16,"seoul shares dip on profit-taking, up for the week"
2012/3/18,qualcomm shares could rise 30 percent: barron's
2012/3/19,seoul shares reverse gains as momentum fades
2012/3/19,"u.s. sets duties s.korea, mexico refrigerators"
2012/3/19,"u.s. sets duties on south korean, mexican refrigerators"
2012/3/19,bosch reviews battery jv with samsung sdi
2012/3/21,samsung says picks xian for first china chip plant
2012/3/21,apple's new iphone will use bigger 4.6-inch display: report
2012/3/21,apple's new iphone will use bigger 4.6-inch display-report
2012/3/22,samsung sees smartphones leading africa growth
2012/3/22,blackberry maker seeks apple-focused app developer
2012/3/23,samsung picks mts for russian retail push
2012/3/23,"refile-insight-samsung: ""fast executioner"" seeks killer design"
2012/3/23,"insight: samsung: ""fast executioner"" seeks killer design"
2012/3/23,"samsung: ""fast executioner"" seeks killer design"
2012/3/26,"s.korea kospi reverses gains to close down, energy shares weigh"
2012/3/27,australia regulator says apple misleading consumers on ipad
2012/3/28,samsung c&t takes 15 pct stake in $4.8 bln ccs project
2012/3/28,samsung c&t takes 15 percent stake in $4.8 billion ccs project
2012/3/28,seoul shares dip as investors cash in on blue chips
2012/3/28,"seoul shares set to edge down, apple may support techs"
2012/3/28,"s.korean shares fall 1 pct; shipbuilders, brokerages weigh"
2012/3/28,adr report-brazilian bank shares fall in new york
2012/3/29,seoul shares post near 3-week closing low; shipbuilders tumble
2012/3/30,"eu's almunia: may probe motorola, apple, microsoft dispute"
2012/3/30,s.korea kospi sets largest quarterly rise in 2-1/2 years
2012/3/30,sk hynix says submitted bid interest for japan's elpida
2012/4/2,samsung says china chip plant to cost $7 bln
2012/4/3,"posco offers $519 mln stake in sk tel, hana, kb -ifr"
2012/4/3,seoul shares seen lower as fed minutes dampen risk appetite
2012/4/3,"sandisk sees weak demand, pricing hurting rev, margins"
2012/4/4,s.korea kospi suffers worst fall in 3-1/2 months
2012/4/4,seoul shares drop 1.5 pct; high-beta sectors tumble
2012/4/4,court picks terms in apple/samsung patent case
2012/4/5,samsung estimates record q1 profit; beats most bullish view
2012/4/5,taking note: is samsung's phablet the shape of things to come?
2012/4/5,samsung estimates record first quarter profit; beats most bullish view
2012/4/5,instant view: samsung estimates record first quarter profit
2012/4/6,"samsung hits a high note, posts record quarterly profit"
2012/4/6,us court hears apple request to pull samsung devices
2012/4/8,samsung awarded two contracts for qatar's lusail city
2012/4/9,"seoul shares rebound on technicals, trading light"
2012/4/9,s.korea kospi slides to 1-mth closing low on u.s data
2012/4/11,europe shares snap week-long slide; nokia plunges
2012/4/11,nokia flagship smartphone's materials cost $209-ihs
2012/4/11,nokia flagship smartphone's materials cost $209: ihs
2012/4/12,investors losing faith that nokia can stop the rot
2012/4/12,"seoul shares rise 1 pct, shrug off n.korea rocket launch"
2012/4/12,sony shares drop 3 pct after turnaround plan
2012/4/13,"german court upholds ban on apple ""push"" email"
2012/4/13,"seoul shares retake 2,000-point plateau despite n.korea launch"
2012/4/14,nokia says fixed flagship smartphone software bug
